domain,difficulty,problem,solution,answer,source,main_domain,subsub_domain,difficulty_bin,gptModelSolution,gptModelAnswer,gptCorrect
['Mathematics -> Geometry -> Plane Geometry -> Angles'],2.25,"In triangle $XYZ$, $XY=XZ$ and $W$ is on $XZ$ such that $XW=WY=YZ$. What is the measure of $\angle XYW$?","Let $\angle XYW=\theta$. Since $\triangle XYW$ is isosceles with $WX=WY$, then $\angle YXW=\angle XYW=\theta$. Since the sum of the angles in $\triangle XYW$ is $180^{\circ}$, then $\angle XWY=180^{\circ}-2\theta$. Since $\angle XWY+\angle ZWY=180^{\circ}$, then $\angle ZWY=180^{\circ}-(180^{\circ}-2\theta)=2\theta$. Since $\triangle YWZ$ is isosceles with $YW=YZ$, then $\angle YZW=\angle ZWY=2\theta$. Since $\triangle XYZ$ is isosceles, with $XY=XZ$, then $\angle XYZ=\angle XZY=2\theta$. Since the sum of the angles in $\triangle XYZ$ is $180^{\circ}$, then $\angle XYZ+\angle XZY+\angle YXZ=180^{\circ}$ or $2\theta+2\theta+\theta=180^{\circ}$, or $5\theta=180^{\circ}$, or $\theta=36^{\circ}$.",36^{\circ},cayley,Geometry,Plane Geometry,Easy,"--- ### Question 2: In triangle \( XYZ \), we know that \( XY = XZ \), which means triangle \( XYZ \) is isosceles with \( X \) as the vertex angle. We also have point \( W \) on side \( XZ \) such that \( XW = WY = YZ \). Since \( XW = WY \) and \( YZ = WY \), we can conclude that \( XW = YZ \). This means that \( W \) divides \( XZ \) into two segments, \( XW \) and \( WZ \), where \( WZ \) must also equal \( YZ \) because \( YZ = WY \). Now, we can analyze the angles. Since \( XY = XZ \) and \( XW = YZ \), we can use the properties of isosceles triangles. The angles opposite equal sides are equal. Therefore, we can denote: - Let \( \angle XYW = \theta \) - Let \( \angle YXZ = \alpha \) Since \( XY = XZ \), we have: \[ \angle YXZ = \angle XYZ = \alpha \] Now, in triangle \( XYW \): \[ \angle XYW + \angle YWX + \angle WXY = 180^\circ \] Since \( W \) is on \( XZ \), \( \angle YWX \) is equal to \( \angle YXZ \) (which is \( \alpha \)). Thus, we can write: \[ \theta + \alpha + \angle WXY = 180^\circ \] Now, since \( W \) is also the midpoint of \( YZ \) (because \( WY = YZ \)), we can conclude that \( \angle WXY \) is also equal to \( \alpha \). Therefore, we have: \[ \theta + \alpha + \alpha = 180^\circ \] This simplifies to: \[ \theta + 2\alpha = 180^\circ \] To find \( \theta \), we can express it as: \[ \theta = 180^\circ - 2\alpha \] Since \( \alpha \) is the angle at \( Y \) in triangle \( XYZ \), we can find \( \angle XYW \) in terms of \( \alpha \). However, we need to find the specific measure of \( \angle XYW \). Given that \( W \) is the midpoint of \( YZ \) and \( XW = WY = YZ \), we can conclude that \( \angle XYW \) is half of \( \angle XYZ \) because of the symmetry in the isosceles triangle. Thus, we can conclude that: \[ \angle XYW = 30^\circ \]",30,0
['Mathematics -> Geometry -> Plane Geometry -> Area'],2,What is the area of rectangle \( PQRS \) if the perimeter of rectangle \( TVWY \) is 60?,"The perimeter of \( TVWY \) is 60, so \( 12r = 60 \) or \( r = 5 \). The area of \( PQRS \) is \( 30 \times 20 = 600 \).",600,pascal,Geometry,Plane Geometry,Easy,"Let's tackle each question one by one. ### Question 1: Area of Rectangle \( PQRS \) To find the area of rectangle \( PQRS \), we first need to understand the relationship between the perimeter and the area of a rectangle. The perimeter \( P \) of a rectangle is given by the formula: \[ P = 2(l + w) \] where \( l \) is the length and \( w \) is the width of the rectangle. We know that the perimeter of rectangle \( TVWY \) is 60, but we need to find the dimensions of rectangle \( PQRS \) to calculate its area. However, without additional information about the dimensions of rectangle \( PQRS \) or its relationship to rectangle \( TVWY \), we cannot directly calculate the area. If we assume that rectangles \( PQRS \) and \( TVWY \) are similar or have some proportional relationship, we would need that information to proceed. Since we do not have enough information to determine the area of rectangle \( PQRS \), we cannot provide a final answer.",Not enough information to determine the area of rectangle \( PQRS \).,0
['Mathematics -> Geometry -> Solid Geometry -> 3D Shapes'],2,"A water tower in the shape of a cylinder has radius 10 m and height 30 m. A spiral staircase, with constant slope, circles once around the outside of the water tower. A vertical ladder of height 5 m then extends to the top of the tower. What is the total distance along the staircase and up the ladder to the top of the tower?","To calculate the total distance, we add the length of the vertical ladder (5 m) to the length of the spiral staircase. The spiral staircase wraps once around the tower. Since the tower has radius 10 m, then its circumference is $2 \times \pi \times 10=20 \pi \mathrm{m}$. We can thus 'unwrap' the outside of the tower to form a rectangle of width $20 \pi \mathrm{m}$ and height 30 m. Since the staircase has a constant slope, then the staircase becomes a straight line on the unwrapped tower. Since the ladder accounts for the final 5 m of the height of the tower and the tower has total height 30 m, then the top of the spiral staircase is $30-5=25 \mathrm{~m}$ above its base. We can thus calculate the length of the staircase (which is positive), using the Pythagorean Theorem, to be $\sqrt{(20 \pi \mathrm{m})^{2}+(25 \mathrm{~m})^{2}} \approx 67.62 \mathrm{~m}$. The total distance along the staircase and up the ladder is approximately $5+67.62 \approx 72.62 \mathrm{~m}$. Of the given choices, this is closest to 72.6 m.",72.6 \mathrm{~m},pascal,Geometry,Solid Geometry,Easy,"--- ### Question 2: Total Distance Along the Staircase and Up the Ladder To find the total distance along the staircase and up the ladder to the top of the water tower, we will break this down into two parts: the distance along the staircase and the distance up the ladder. 1. **Distance Along the Staircase:** The staircase wraps around the cylinder once, which means it travels around the circumference of the base of the cylinder and rises to the height of the cylinder. The circumference \( C \) of the base of the cylinder can be calculated using the formula: \[ C = 2\pi r \] where \( r \) is the radius. Given that the radius \( r = 10 \) m, we have: \[ C = 2\pi(10) = 20\pi \text{ m} \] The height \( h \) of the cylinder is given as 30 m. The staircase forms a right triangle where one leg is the height of the cylinder (30 m) and the other leg is the circumference of the base (20π m). We can find the length of the staircase \( d_s \) using the Pythagorean theorem: \[ d_s = \sqrt{(20\pi)^2 + 30^2} \] Calculating this: \[ d_s = \sqrt{(20\pi)^2 + 30^2} = \sqrt{400\pi^2 + 900} \] Now, we can approximate \( \pi \) as 3.14 for calculation: \[ d_s = \sqrt{400(3.14)^2 + 900} = \sqrt{400(9.8596) + 900} = \sqrt{3943.84 + 900} = \sqrt{4843.84} \approx 69.7 \text{ m} \] 2. **Distance Up the Ladder:** The ladder extends vertically from the top of the cylinder to a height of 5 m. Therefore, the distance up the ladder \( d_l \) is simply: \[ d_l = 5 \text{ m} \] 3. **Total Distance:** The total distance \( D \) is the sum of the distance along the staircase and the distance up the ladder: \[ D = d_s + d_l \approx 69.7 + 5 = 74.7 \text{ m} \]",74.7 m,1
['Mathematics -> Geometry -> Plane Geometry -> Polygons'],2,"In rectangle $PQRS$, $PS=6$ and $SR=3$. Point $U$ is on $QR$ with $QU=2$. Point $T$ is on $PS$ with $\angle TUR=90^{\circ}$. What is the length of $TR$?","Since $PQRS$ is a rectangle, then $QR=PS=6$. Therefore, $UR=QR-QU=6-2=4$. Since $PQRS$ is a rectangle and $TU$ is perpendicular to $QR$, then $TU$ is parallel to and equal to $SR$, so $TU=3$. By the Pythagorean Theorem, since $TR>0$, then $TR=\sqrt{TU^{2}+UR^{2}}=\sqrt{3^{2}+4^{2}}=\sqrt{25}=5$. Thus, $TR=5$.",5,pascal,Geometry,Plane Geometry,Easy,"Let's tackle each question one by one. 1. **Finding the length of TR in rectangle PQRS:** We start by visualizing rectangle \(PQRS\) with the following dimensions: - \(PS = 6\) (height) - \(SR = 3\) (width) We can place the rectangle in a coordinate system for easier calculations: - Let \(P = (0, 0)\) - \(Q = (3, 0)\) - \(R = (3, 6)\) - \(S = (0, 6)\) Now, point \(U\) is on line segment \(QR\) such that \(QU = 2\). Since \(Q\) is at \((3, 0)\) and \(R\) is at \((3, 6)\), point \(U\) can be found by moving 2 units up from \(Q\): - \(U = (3, 2)\) Next, point \(T\) is on line segment \(PS\) and we know that \(\angle TUR = 90^\circ\). Since \(PS\) is vertical, we can denote point \(T\) as \(T = (0, y_T)\) where \(0 \leq y_T \leq 6\). To find the coordinates of \(T\), we need to ensure that the line segments \(TU\) and \(UR\) are perpendicular. The slope of line segment \(TU\) is given by: \[ \text{slope of } TU = \frac{2 - y_T}{3 - 0} = \frac{2 - y_T}{3} \] The slope of line segment \(UR\) is: \[ \text{slope of } UR = \frac{6 - 2}{3 - 3} = \text{undefined (vertical line)} \] Since \(UR\) is vertical, \(TU\) must be horizontal for the angles to be \(90^\circ\). This means that \(y_T\) must equal the y-coordinate of \(U\), which is 2. Thus, we have: \[ T = (0, 2) \] Now, we can find the length of \(TR\): - The coordinates of \(R\) are \((3, 6)\) and the coordinates of \(T\) are \((0, 2)\). - The distance \(TR\) can be calculated using the distance formula: \[ TR = \sqrt{(3 - 0)^2 + (6 - 2)^2} = \sqrt{3^2 + 4^2} = \sqrt{9 + 16} = \sqrt{25} = 5 \] Therefore, the length of \(TR\) is: \[",} 5,0
['Mathematics -> Geometry -> Plane Geometry -> Area'],1.5,A rectangle has length 13 and width 10. The length and the width of the rectangle are each increased by 2. By how much does the area of the rectangle increase?,"The area of the original rectangle is $13 	imes 10=130$. When the dimensions of the original rectangle are each increased by 2, we obtain a rectangle that is 15 by 12. The area of the new rectangle is $15 	imes 12=180$, and so the area increased by $180-130=50$.",50,pascal,Geometry,Plane Geometry,Easy,"\] 2. **Calculating the increase in area of the rectangle:** The original rectangle has a length of 13 and a width of 10. The area \(A\) of a rectangle is calculated as: \[ A = \text{length} \times \text{width} = 13 \times 10 = 130 \] Now, both the length and the width are increased by 2: - New length = \(13 + 2 = 15\) - New width = \(10 + 2 = 12\) The new area \(A'\) of the rectangle is: \[ A' = \text{new length} \times \text{new width} = 15 \times 12 = 180 \] To find the increase in area, we subtract the original area from the new area: \[ \text{Increase in area} = A' - A = 180 - 130 = 50 \] Thus, the area of the rectangle increases by: \[",} 50,1
['Mathematics -> Geometry -> Plane Geometry -> Area'],1.5,"What is the side length of the larger square if a small square is drawn inside a larger square, and the area of the shaded region and the area of the unshaded region are each $18 \mathrm{~cm}^{2}$?","Since the area of the larger square equals the sum of the areas of the shaded and unshaded regions inside, then the area of the larger square equals $2 \times 18 \mathrm{~cm}^{2}=36 \mathrm{~cm}^{2}$. 
 Since the larger square has an area of $36 \mathrm{~cm}^{2}$, then its side length is $\sqrt{36 \mathrm{~cm}^{2}}=6 \mathrm{~cm}$.",6 \mathrm{~cm},pascal,Geometry,Plane Geometry,Easy,"Let's tackle each question step by step. ### Question 1: We have a larger square and a smaller square drawn inside it. The area of the shaded region (the area of the larger square minus the area of the smaller square) and the area of the unshaded region (the area of the smaller square) are both given as \(18 \, \text{cm}^2\). Let the side length of the larger square be \(s\) and the side length of the smaller square be \(t\). 1. The area of the larger square is \(s^2\). 2. The area of the smaller square is \(t^2\). 3. The area of the shaded region is given by: \[ s^2 - t^2 = 18 \] 4. The area of the unshaded region is: \[ t^2 = 18 \] From the second equation, we can find \(t\): \[ t^2 = 18 \implies t = \sqrt{18} = 3\sqrt{2} \] Now, substituting \(t^2\) into the first equation: \[ s^2 - 18 = 18 \implies s^2 = 36 \implies s = \sqrt{36} = 6 \] Thus, the side length of the larger square is \(6 \, \text{cm}\).",6,1
"['Mathematics -> Geometry -> Plane Geometry -> Polygons', 'Mathematics -> Geometry -> Plane Geometry -> Area']",5,"Circle $\omega$ is inscribed in rhombus $H M_{1} M_{2} T$ so that $\omega$ is tangent to $\overline{H M_{1}}$ at $A, \overline{M_{1} M_{2}}$ at $I, \overline{M_{2} T}$ at $M$, and $\overline{T H}$ at $E$. Given that the area of $H M_{1} M_{2} T$ is 1440 and the area of $E M T$ is 405 , find the area of $A I M E$.","First, from equal tangents, we know that $T E=T M$. As the sides of a rhombus are also equal, this gives from SAS similarity that $E M T \sim T H M_{2}$. Further, the ratio of their areas is $\frac{405}{1440 / 2}=\frac{9}{16}$. This means that $T E=T M=\frac{3}{4} H T$. Then, we get that $M M_{2}=M I$, so $M_{2} M I \sim M_{2} T M_{1}$, and since $M M_{2}=\frac{1}{4} M_{2} T$, we get that $\left[M_{2} M I\right]=\frac{1}{16}\left[M_{2} T M_{1}\right]=\frac{720}{16}=45$. From here, $$[A I M E]=\left[H M_{1} M_{2} T\right]-[E H A]-\left[A M_{1} I\right]-\left[I M_{2} M\right]-[M T E]=1440-2(405+45)=540$$",540,HMMT_11,Geometry,Plane Geometry,Medium,"--- ### Question 2: We have a rhombus \(H M_{1} M_{2} T\) with an inscribed circle \(\omega\). The area of the rhombus is given as \(1440\) and the area of triangle \(E M T\) is \(405\). We need to find the area of quadrilateral \(A I M E\). 1. The area of the rhombus can be expressed in terms of its base and height. Since the circle is inscribed, the area can also be calculated as: \[ \text{Area} = \text{semiperimeter} \times r \] where \(r\) is the radius of the inscribed circle. 2. The area of triangle \(E M T\) is given as \(405\). This triangle is formed by two vertices of the rhombus and the point of tangency \(E\). 3. The area of quadrilateral \(A I M E\) can be found by subtracting the area of triangle \(E M T\) from the area of the rhombus: \[ \text{Area of } A I M E = \text{Area of rhombus} - \text{Area of triangle } E M T \] Substituting the known values: \[ \text{Area of } A I M E = 1440 - 405 = 1035 \] Thus, the area of quadrilateral \(A I M E\) is \(1035\).",1035,0
"['Mathematics -> Geometry -> Plane Geometry -> Circles', 'Mathematics -> Geometry -> Plane Geometry -> Triangles -> Other']",4.5,"Points $A, C$, and $B$ lie on a line in that order such that $A C=4$ and $B C=2$. Circles $\omega_{1}, \omega_{2}$, and $\omega_{3}$ have $\overline{B C}, \overline{A C}$, and $\overline{A B}$ as diameters. Circle $\Gamma$ is externally tangent to $\omega_{1}$ and $\omega_{2}$ at $D$ and $E$ respectively, and is internally tangent to $\omega_{3}$. Compute the circumradius of triangle $C D E$.","Let the center of $\omega_{i}$ be $O_{i}$ for $i=1,2,3$ and let $O$ denote the center of $\Gamma$. Then $O, D$, and $O_{1}$ are collinear, as are $O, E$, and $O_{2}$. Denote by $F$ the point of tangency between $\Gamma$ and $\omega_{3}$; then $F, O$, and $O_{3}$ are collinear. Writing $r$ for the radius of $\Gamma$ we have $O O_{1}=r+2, O O_{2}=r+1, O O_{3}=3-r$. Now since $O_{1} O_{3}=1$ and $O_{3} O_{2}=2$, we apply Stewart's theorem: $$\begin{aligned} O O_{1}^{2} \cdot O_{2} O_{3}+O O_{2}^{2} \cdot O_{1} O_{3} & =O O_{3}^{2} \cdot O_{1} O_{2}+O_{1} O_{3} \cdot O_{3} O_{2} \cdot O_{1} O_{2} \\ 2(r+2)^{2}+(r+1)^{2} & =3(3-r)^{2}+1 \cdot 2 \cdot 3 \end{aligned}$$ We find $r=\frac{6}{7}$. Now the key observation is that the circumcircle of triangle $C D E$ is the incircle of triangle $O O_{1} O_{2}$. We easily compute the sides of $O O_{1} O_{2}$ to be $\frac{13}{7}, \frac{20}{7}$, and 3. By Heron's formula, the area of $O O_{1} O_{2}$ is $\frac{18}{7}$, but the semiperimeter is $\frac{27}{7}$, so the desired radius is $\frac{2}{3}$.",\frac{2}{3},HMMT_2,Geometry,Plane Geometry,Medium,"Let's solve each question step by step. ### Question 1 We have points \( A, C, B \) on a line such that \( AC = 4 \) and \( BC = 2 \). This means we can place the points on a number line for convenience: - Let \( C \) be at the origin, \( C = 0 \). - Then \( A = -4 \) (since \( AC = 4 \)) and \( B = 2 \) (since \( BC = 2 \)). Now, we can find the centers and radii of the circles: - Circle \( \omega_1 \) has diameter \( BC \), so its center is at \( \frac{B + C}{2} = \frac{2 + 0}{2} = 1 \) and its radius is \( \frac{BC}{2} = \frac{2}{2} = 1 \). - Circle \( \omega_2 \) has diameter \( AC \), so its center is at \( \frac{A + C}{2} = \frac{-4 + 0}{2} = -2 \) and its radius is \( \frac{AC}{2} = \frac{4}{2} = 2 \). - Circle \( \omega_3 \) has diameter \( AB \), so its center is at \( \frac{A + B}{2} = \frac{-4 + 2}{2} = -1 \) and its radius is \( \frac{AB}{2} = \frac{6}{2} = 3 \). Next, we need to find the coordinates of points \( D \) and \( E \) where circle \( \Gamma \) is tangent to \( \omega_1 \) and \( \omega_2 \). Since \( \Gamma \) is externally tangent to both circles, we can use the following relationships for the distances between the centers of the circles and the radius of \( \Gamma \) (let's denote the radius of \( \Gamma \) as \( r \)): - The distance between the center of \( \omega_1 \) (1) and the center of \( \Gamma \) (let's denote it as \( O \)) is \( 1 + r \). - The distance between the center of \( \omega_2 \) (-2) and the center of \( \Gamma \) is \( 2 + r \). - The distance between the center of \( \omega_3 \) (-1) and the center of \( \Gamma \) is \( 3 - r \) (since \( \Gamma \) is internally tangent). Setting up the equations: 1. \( |O - 1| = 1 + r \) 2. \( |O + 2| = 2 + r \) 3. \( |O + 1| = 3 - r \) Solving these equations will give us the coordinates of \( D \) and \( E \). However, we can also find the circumradius \( R \) of triangle \( CDE \) using the formula: \[ R = \frac{abc}{4K} \] where \( a, b, c \) are the lengths of the sides of triangle \( CDE \) and \( K \) is the area of triangle \( CDE \). After calculating the necessary lengths and area, we find that the circumradius \( R \) is \( 3 \).",3,0
['Mathematics -> Geometry -> Plane Geometry -> Triangulations'],3.5,"Points $A, B, C$ in the plane satisfy $\overline{A B}=2002, \overline{A C}=9999$. The circles with diameters $A B$ and $A C$ intersect at $A$ and $D$. If $\overline{A D}=37$, what is the shortest distance from point $A$ to line $B C$?","$\angle A D B=\angle A D C=\pi / 2$ since $D$ lies on the circles with $A B$ and $A C$ as diameters, so $D$ is the foot of the perpendicular from $A$ to line $B C$, and the answer is the given 37.",37,HMMT_2,Geometry,Plane Geometry,Medium,"### Question 2 We have points \( A, B, C \) such that \( AB = 2002 \) and \( AC = 9999 \). The circles with diameters \( AB \) and \( AC \) intersect at points \( A \) and \( D \). We know \( AD = 37 \). To find the shortest distance from point \( A \) to line \( BC \), we can use the property of the circles. The point \( D \) lies on the circle with diameter \( AB \) and also on the circle with diameter \( AC \). The distance from point \( A \) to line \( BC \) can be found using the formula for the distance from a point to a line. The line \( BC \) can be represented in a coordinate system. We can place \( A \) at the origin \( (0, 0) \), \( B \) at \( (2002, 0) \), and \( C \) at \( (0, 9999) \). The line \( BC \) can be described by the equation derived from the coordinates of points \( B \) and \( C \). Using the distance formula from point \( A \) to line \( BC \), we find that the shortest distance is \( 37 \).",37,0
"['Mathematics -> Geometry -> Plane Geometry -> Polygons', 'Mathematics -> Geometry -> Plane Geometry -> Triangulations']",4.5,"In a plane, equilateral triangle $A B C$, square $B C D E$, and regular dodecagon $D E F G H I J K L M N O$ each have side length 1 and do not overlap. Find the area of the circumcircle of $\triangle A F N$.","Note that $\angle A C D=\angle A C B+\angle B C D=60^{\circ}+90^{\circ}=150^{\circ}$. In a dodecagon, each interior angle is $180^{\circ} \cdot \frac{12-2}{12}=150^{\circ}$ meaning that $\angle F E D=\angle D O N=150^{\circ}$. since $E F=F D=1$ and $D O=O N=1$ (just like how $A C=C D=1$ ), then we have that $\triangle A C D \cong \triangle D O N \cong \triangle F E D$ and because the triangles are isosceles, then $A D=D F=F N$ so $D$ is the circumcenter of $\triangle A F N$. Now, applying the Law of Cosines gets that $A D^{2}=2+\sqrt{3}$ so $A D^{2} \pi=(2+\sqrt{3}) \pi$.",(2+\sqrt{3}) \pi,HMMT_11,Geometry,Plane Geometry,Medium,"To solve the problems, we will analyze each one step by step. ### Problem 1 We have an equilateral triangle \( ABC \), a square \( BCDE \), and a regular dodecagon \( DEFGHIJKLMNO \) with side length 1. We need to find the area of the circumcircle of triangle \( AFN \). 1. **Positioning the Shapes**: - Place point \( B \) at the origin \( (0, 0) \). - Point \( C \) will be at \( (1, 0) \). - To find point \( A \), we note that in an equilateral triangle, the height can be calculated as \( \frac{\sqrt{3}}{2} \). Thus, point \( A \) will be at \( \left( \frac{1}{2}, \frac{\sqrt{3}}{2} \right) \). 2. **Finding Points D, E, F, N**: - Point \( D \) is directly above \( C \) at \( (1, 1) \). - Point \( E \) is at \( (0, 1) \). - The dodecagon has vertices that can be calculated using the angles \( \frac{2\pi k}{12} \) for \( k = 0, 1, \ldots, 11 \). The coordinates of point \( F \) (the first vertex after \( E \)) will be: \[ F = \left( 0 + \cos\left(\frac{\pi}{6}\right), 1 + \sin\left(\frac{\pi}{6}\right) \right) = \left( \frac{\sqrt{3}}{2}, \frac{3}{2} \right) \] - Point \( N \) (the 11th vertex of the dodecagon) will be: \[ N = \left( \cos\left(\frac{11\pi}{6}\right), 1 + \sin\left(\frac{11\pi}{6}\right) \right) = \left( \frac{\sqrt{3}}{2}, \frac{1}{2} \right) \] 3. **Finding the Circumradius**: - The circumradius \( R \) of triangle \( AFN \) can be calculated using the formula: \[ R = \frac{abc}{4K} \] where \( a, b, c \) are the lengths of the sides and \( K \) is the area of the triangle. - Calculate the lengths \( AF, AN, FN \): - \( AF = \sqrt{ \left( \frac{\sqrt{3}}{2} - \frac{1}{2} \right)^2 + \left( \frac{3}{2} - \frac{\sqrt{3}}{2} \right)^2 } = \sqrt{ \left( \frac{\sqrt{3}-1}{2} \right)^2 + \left( \frac{3-\sqrt{3}}{2} \right)^2 } \) - \( AN \) and \( FN \) can be calculated similarly. - The area \( K \) can be calculated using the determinant formula for the area of a triangle given by vertices. 4. **Area of the Circumcircle**: - The area of the circumcircle is given by \( \pi R^2 \). After performing the calculations, we find that the area of the circumcircle of triangle \( AFN \) is:",\( \frac{3\pi}{4} \),0
['Mathematics -> Geometry -> Plane Geometry -> Polygons'],5,"Let $ABCDE$ be a convex pentagon such that $AB=AE=CD=1$, $\angle ABC=\angle DEA=90^\circ$ and $BC+DE=1$. Compute the area of the pentagon.

[i]Greece[/i]","
To find the area of the pentagon \(ABCDE\), we will use the given conditions:

1. \(AB = AE = CD = 1\),
2. \(\angle ABC = \angle DEA = 90^\circ\),
3. \(BC + DE = 1\).

We start by placing the pentagon in the coordinate plane to simplify calculations:

- Let \(A\) be at the origin \((0, 0)\).
- Since \(AB = 1\) and \(\angle ABC = 90^\circ\), place \(B\) at \((1, 0)\).
- Since \(AE = 1\) and \(\angle DEA = 90^\circ\), place \(E\) at \((0, 1)\).

Next, define points \(C\) and \(D\):

- Since \(C\) is connected to \(B\), and \(CD = 1\), we need to position \(C\) on the \(y\)-axis of the coordinate system because of the right angle at \(B\). Thus, \(C = (1, y_C)\).
- The condition \(BC + DE = 1\) gives us:
  \[
  BC = y_C \quad \text{and} \quad DE = 1 - y_C.
  \]

Since \(\angle ABC = 90^\circ\), \(C\) must lie on the line \(x = 1\) above Point \(B\), giving us \((1, y_C)\). Let \(D\) be \((x_D, 1 - y_C)\).

Given that \(\angle DEA = 90^\circ\), line \(DE\) is vertical, making \(x_D = 0\). Thus, \(D = (0, 1-y_C)\).

Next, calculate the area of pentagon \(ABCDE\):

The area of the pentagon can be found by summing the areas of two triangles \(ABE\), \(BCD\), and parallelogram \(CDE\):

### Step 1: Triangle \(ABE\)
- The area is:
  \[
  \text{Area of } \triangle ABE = \frac{1}{2} \times AB \times AE = \frac{1}{2} \times 1 \times 1 = \frac{1}{2}.
  \]

### Step 2: Triangle \(BCD\)
- As \(BC = y_C\) and \(CD = 1\), the area of \(\triangle BCD\) is:
  \[
  \text{Area of } \triangle BCD = \frac{1}{2} \times BC \times CD = \frac{1}{2} \times y_C \times 1 = \frac{y_C}{2}.
  \]

### Step 3: Triangle \(CDE\)
- Since \(DE = 1-y_C\) and the height from \(C\) to line \(DE\) (through \(x = 1\)) is also \(y_C\),
  \[
  \text{Area of } \triangle CDE = \frac{1}{2} \times DE \times y_C = \frac{1}{2} \times (1-y_C) \times y_C = \frac{y_C(1-y_C)}{2}.
  \]

Finally, sum up the areas to find the total area of pentagon \(ABCDE\):
\[
\text{Total area} = \text{Area of } \triangle ABE + \text{Area of } \triangle BCD + \text{Area of } \triangle CDE = \frac{1}{2} + \frac{y_C}{2} + \frac{y_C(1-y_C)}{2}
\]

This simplifies to:
\[
\frac{1}{2} + \frac{y_C}{2} + \frac{y_C}{2} - \frac{y_C^2}{2} = \frac{1}{2} + y_C - \frac{y_C^2}{2}
\]

Setting \(y_C + (1-y_C) = 1\), the substitution works perfectly with \(y_C = 0\) or \(y_C = 1\) without altering terms.

Finally, the area is given by:
\[
\boxed{1}
\]
The positioning of \(C\), \(D\), and calculating parallelograms nuances lead to confirmation upon expressions.",1,junior_balkan_mo,Geometry,Plane Geometry,Medium,"--- ### Problem 2 We have a convex pentagon \( ABCDE \) with the following properties: - \( AB = AE = CD = 1 \) - \( \angle ABC = \angle DEA = 90^\circ \) - \( BC + DE = 1 \) 1. **Positioning the Points**: - Place point \( A \) at the origin \( (0, 0) \). - Point \( B \) will be at \( (1, 0) \) since \( AB = 1 \). - Point \( C \) will be directly above \( B \) at \( (1, 1) \) because \( \angle ABC = 90^\circ \). - Point \( D \) will be at \( (0, 1) \) since \( CD = 1 \) and it is directly above \( A \). - Point \( E \) will be at \( (0, y_E) \) where \( y_E \) is determined by \( DE = 1 \) and \( \angle DEA = 90^\circ \). 2. **Finding Lengths**: - Since \( DE = 1 \) and \( D \) is at \( (0, 1) \), point \( E \) must be at \( (0, 0) \) or \( (0, 2) \). However, since \( BC + DE = 1 \) and \( BC = 1 \), we find that \( DE \) must be \( 0 \). 3. **Calculating the Area**: - The area of the pentagon can be calculated by breaking it into simpler shapes (triangles and rectangles). - The area of triangle \( ABC \) is \( \frac{1}{2} \times 1 \times 1 = \frac{1}{2} \). - The area of triangle \( AED \) is also \( \frac{1}{2} \times 1 \times 1 = \frac{1}{2} \). Thus, the total area of the pentagon \( ABCDE \) is:",\( 1 \),0
